id,mapel,kelas_1,kelas_2,kelas_3,token,status,tanggal,mulai,selesai,durasi
ASAT-01,Bahasa Jawa,SEMUA,,,,Aktif,2026-09-18,08:00,09:30,90
ASAT-02,Fisika,SEMUA,,,,Aktif,2026-09-18,09:45,11:15,90
ASAT-03,Shorof,SEMUA,,,,Aktif,2026-09-18,12:30,13:00,30
ASAT-04,IMLA,SEMUA,,,,Aktif,2026-09-21,07:30,09:00,90
ASAT-05,Sosiologi,10,11A,11B,,Aktif,2026-09-21,09:15,11:15,120
ASAT-06,Sejarah,12,,,,Aktif,2026-09-21,09:15,11:15,120
ASAT-07,Matematika,SEMUA,,,,Aktif,2026-09-21,12:30,14:00,90
ASAT-08,Pendidikan Pancasila,SEMUA,,,,Aktif,2026-09-22,07:30,09:00,90
ASAT-09,Bahasa Indonesia,SEMUA,,,,Aktif,2026-09-22,09:15,11:15,120
ASAT-10,TIK,SEMUA,,,,Aktif,2026-09-22,12:30,14:00,90
ASAT-11,Biologi,SEMUA,,,,Aktif,2026-09-22,14:15,15:45,90
ASAT-12,Tariq,SEMUA,,,,Aktif,2026-09-23,07:30,09:00,90
ASAT-13,Fiqih,SEMUA,,,,Aktif,2026-09-23,09:15,11:15,120
ASAT-14,Hadist,SEMUA,,,,Aktif,2026-09-23,12:30,14:00,90
ASAT-15,Kimia,10,11A,11B,,Aktif,2026-09-23,14:15,15:45,90
ASAT-16,Geografi,10,,,,Aktif,2026-09-24,07:30,09:00,90
ASAT-17,Bahasa Inggris Tingkat Lanjut,11A,11B,12,,Aktif,2026-09-24,07:30,09:00,90
ASAT-18,PJOK,SEMUA,,,,Aktif,2026-09-24,09:15,11:15,120
ASAT-19,Nahwu,SEMUA,,,,Aktif,2026-09-24,12:30,14:00,90
ASAT-20,Tauhid,SEMUA,,,,Aktif,2026-09-25,08:00,09:30,90
ASAT-21,Bahasa Inggris,SEMUA,,,,Aktif,2026-09-25,09:45,11:15,90
ASAT-22,Ekonomi,SEMUA,,,,Aktif,2026-09-25,12:30,13:00,30
